episode,controller,reward,energy_wh,dist_m,wh_per_km,comfort_score,success,trip_type,traffic,payload
5,RL_Adaptive,-120.88067396721873,2.0494027238094903,538.462131133184,3.806029440726981,0.12035421166546675,False,0,0,60
5,Eco,-201.7313794556697,76.93217962751608,3368.846444380993,22.83635686507283,0.0,True,0,0,60
5,Commute,-310.1294097354677,89.07499810814889,3370.4512399719074,26.428211466691128,0.0,True,0,0,60
5,Sport,-797.4056741916283,164.3145823331728,3368.956743098531,48.77313508693131,0.0,True,0,0,60
5,RuleBased,-374.87900758013865,95.1258383026379,3369.1844320717655,28.23408460430986,0.0,True,0,0,60
6,RL_Adaptive,-271.6611314093283,16.031369565995693,1009.6914515770646,15.877493605552328,0.047364662058142354,False,2,2,0
6,Eco,-2837.1745519026385,47.67073150417215,4951.488645178789,9.62755545255842,0.0,False,2,2,0
6,Commute,-2572.554439866239,88.06561852797644,5571.2839325441055,15.807059843701346,0.0,True,2,2,0
6,Sport,-1826.360603081397,121.09071301422678,5573.107914373084,21.727681371812842,0.0,True,2,2,0
6,RuleBased,-2873.5857419087306,88.77673277817028,5537.0155559682535,16.033318288672564,0.0,False,2,2,0
7,RL_Adaptive,-0.043252067774134845,0.0,0.0,0.0,0.9920223495324951,False,0,1,0
7,Eco,-797.6120834865329,81.46661296294576,6984.09681666598,11.664588149543398,0.0,True,0,1,0
7,Commute,-1489.8452015884516,137.54171382462883,6982.719727606581,19.697441568626882,0.0,True,0,1,0
7,Sport,-1705.728939536673,209.90618718743025,6984.0618245789665,30.055029932396742,0.0,True,0,1,0
7,RuleBased,-1596.8471993604353,151.37579721582665,6983.879586396628,21.675029665557254,0.0,True,0,1,0
8,RL_Adaptive,-0.16390510861828855,0.0,0.0,0.0,0.9701032227965104,False,0,1,60
8,Eco,-537.4469076986978,113.39519612773162,6429.7125088266475,17.636122295058104,0.0,True,0,1,60
8,Commute,-862.6903810496841,141.96564486951286,6428.265047795007,22.084597292423283,0.0,True,0,1,60
8,Sport,-1644.9395794486475,256.4462908330688,6427.707593491223,39.89700637483098,0.0,True,0,1,60
8,RuleBased,-1053.653626573535,158.4029918825698,6429.825582306891,24.6356592188832,0.0,True,0,1,60
9,RL_Adaptive,-480.6356535403735,20.365222942190137,510.2183732856692,39.91471888995995,0.01015657599179559,False,0,3,60
9,Eco,-3152.5997888373786,-12.389451288147848,2871.778258572755,-4.314208888225681,0.0,True,0,3,60
9,Commute,-2142.5154705431887,-5.20626235207699,2871.3212927455297,-1.8131939345244128,0.0,True,0,3,60
9,Sport,-1401.0507475794143,37.05866467420726,2871.244651981903,12.906829325263931,0.0,True,0,3,60
9,RuleBased,-2738.4054736317994,8.535813860815887,2871.506728323805,2.972590583410727,0.0,True,0,3,60
10,RL_Adaptive,-0.02168313906806018,0.0,0.0,0.0,0.9949933302079111,False,2,1,60
10,Eco,-369.7298914832952,43.6440275982609,2096.5895546375887,20.816677018027548,0.0,True,2,1,60
10,Commute,-543.696858096667,59.78895773042994,2097.76900798732,28.501211288174076,0.0,True,2,1,60
10,Sport,-678.7682348201457,98.18550003395448,2096.429048946292,46.834640114963356,0.0,True,2,1,60
10,RuleBased,-696.1116462592491,74.73394900603446,2098.3785031096236,35.61509465298321,0.0,True,2,1,60
11,RL_Adaptive,-0.09513723119912791,0.0,0.0,0.0,0.9825362838655028,False,0,0,60
11,Eco,-175.4618055298739,58.80362355828621,2670.956768476402,22.015939850583823,0.0,True,0,0,60
11,Commute,-268.3527509087675,67.60447741132036,2671.6165973255015,25.30470782334477,0.0,True,0,0,60
11,Sport,-646.8012813148918,122.54468999297035,2671.54486871984,45.870346939631126,0.0,True,0,0,60
11,RuleBased,-336.14017313113203,66.82228172841153,2672.7136749672654,25.001661178401363,0.0,True,0,0,60
12,RL_Adaptive,-0.03959534352283938,0.0,0.0,0.0,0.9926943459579595,False,0,0,60
12,Eco,-267.1337103465914,67.5646058101163,3697.9793863995087,18.270682107803673,0.0,True,0,0,60
12,Commute,-325.6940597356319,86.73984401940008,3697.231054265469,23.460758266467806,0.0,True,0,0,60
12,Sport,-312.71828531430174,97.22366268602308,3698.929646406844,26.28426922919893,0.0,True,0,0,60
12,RuleBased,-375.31558630436956,88.16180076094312,3700.202835085982,23.82620755948221,0.0,True,0,0,60
13,RL_Adaptive,-0.013528690570731305,0.0,0.0,0.0,0.9968732571381553,False,2,2,60
13,Eco,-1256.8934689007895,114.94747133578782,5509.527489378152,20.863399185755164,0.0,False,2,2,60
13,Commute,-2042.7641839451255,159.21333984468623,5517.729254081677,28.854866288865114,0.0,False,2,2,60
13,Sport,-2263.738646959091,259.2157407860315,6438.118575444496,40.26265402670607,0.0,True,2,2,60
13,RuleBased,-2049.5092166459312,156.4774727626645,5434.207932140562,28.794899775030732,0.0,False,2,2,60
14,RL_Adaptive,-0.0017926579569461027,0.0,0.0,0.0,0.9995851189672836,False,0,3,60
14,Eco,-2348.689157440208,25.940937359050384,3951.6944408883387,6.564509920260655,0.0,False,0,3,60
14,Commute,-2373.566962725472,71.56028855812451,4664.349342133509,15.341965901163032,0.0,False,0,3,60
14,Sport,-2479.364668942406,167.5680468004641,6587.902956423599,25.43571875737411,0.0,False,0,3,60
14,RuleBased,-2633.5712916380753,62.45504252754046,4256.225256071156,14.673810423556288,0.0,False,0,3,60
15,RL_Adaptive,-1420.4705735340574,56.204944655994424,1503.12353070128,37.39209952343178,0.0,False,0,3,60
15,Eco,-3032.516042251032,-18.228347677053378,2934.881901683134,-6.210930554513812,0.0,False,0,3,60
15,Commute,-2995.7963327722036,8.121903477652493,3713.508744046276,2.1871238328640064,0.0,True,0,3,60
15,Sport,-2244.2983960850124,68.99169611864524,3717.715691185287,18.55755034797973,0.0,True,0,3,60
15,RuleBased,-3069.148172224111,11.912236623117558,3197.9471134643904,3.7249636096116765,0.0,False,0,3,60
16,RL_Adaptive,-352.2732085449,16.182997258216027,1003.1064885173462,16.132880649725937,0.033246608811075176,False,0,1,0
16,Eco,-821.0127280303391,12.352128605743978,2016.5946400328012,6.125241216322515,0.0,True,0,1,0
16,Commute,-951.7105593538562,28.379706987555007,2016.908246752217,14.07089639960282,0.0,True,0,1,0
16,Sport,-720.8812754349549,40.641557547999945,2017.5992190284974,20.143523631799102,0.0,True,0,1,0
16,RuleBased,-936.3444211480515,28.686094491102466,2017.6207370502154,14.217783334761846,0.0,True,0,1,0
17,RL_Adaptive,-0.1360344449138179,0.0,0.0,0.0,0.9751230957784717,False,0,0,0
17,Eco,-382.69630542463256,67.25706051184082,4159.849593655037,16.168147188404866,0.0,True,0,0,0
17,Commute,-974.3032138674293,104.87619266911773,4159.671087951304,25.212616683299046,0.0,True,0,0,0
17,Sport,-1038.9030628846986,156.5101102616882,4159.087848687966,37.6308738732367,0.0,True,0,0,0
17,RuleBased,-922.1350430192218,104.92776959762567,4158.582688810242,25.231617945210367,0.0,True,0,0,0
18,RL_Adaptive,-0.10135037408272339,0.0,0.0,0.0,0.9735439894616822,False,2,3,60
18,Eco,-2805.210796608916,27.902652093854144,3429.054981158368,8.137125898292934,0.0,False,2,3,60
18,Commute,-2489.6508508840316,57.67065841395094,4777.967712145958,12.07012309173788,0.0,False,2,3,60
18,Sport,-2785.0825990117205,150.3228296078654,7847.838217478676,19.15467998219777,0.0,False,2,3,60
18,RuleBased,-2704.3156224951995,57.083063012918366,4027.271718408027,14.174127549427729,0.0,False,2,3,60
19,RL_Adaptive,-57.86266168107321,2.5978235105812955,628.9411274861623,4.130471672228896,0.22782604064057382,False,1,1,30
19,Eco,-794.7934946057661,48.46271430464117,5644.552090009334,8.585750212212325,0.0,True,1,1,30
19,Commute,-1253.3474144047832,101.84808141813653,5643.252527588272,18.04776251288241,0.0,True,1,1,30
19,Sport,-1441.4772710160682,158.34111846846244,5644.733354954851,28.051124563656014,0.0,True,1,1,30
19,RuleBased,-1739.5542678619963,155.82925174804586,5646.1756842786535,27.59907952951952,0.0,True,1,1,30
20,RL_Adaptive,-0.03012642721518456,0.0,0.0,0.0,0.9944365655387075,False,1,0,30
20,Eco,-300.894053844541,95.17243188211152,6281.574287879616,15.151047734283432,0.0,True,1,0,30
20,Commute,-336.93129156036963,114.77737822910518,6281.539051489107,18.272174587833845,0.0,True,1,0,30
20,Sport,-644.6723781824711,161.6427592965745,6281.652320063129,25.732522441635233,0.0,True,1,0,30
20,RuleBased,-414.27734632800906,117.91287576674863,6284.608700171,18.762166650652457,0.0,True,1,0,30
21,RL_Adaptive,-0.09215598517016614,0.0,0.0,0.0,0.9759148987672589,False,2,3,60
21,Eco,-2237.8998013234386,19.157676709274554,3751.5103677545108,5.106657007785772,0.0,False,2,3,60
21,Commute,-2258.2453077563405,56.08276341361672,4362.238173864272,12.856419383432248,0.0,False,2,3,60
21,Sport,-2397.156630803915,149.75757797653802,6226.895572790612,24.050118751136125,0.0,False,2,3,60
21,RuleBased,-2488.500828464604,57.73221748574715,4158.16640549023,13.884056542210644,0.0,False,2,3,60
22,RL_Adaptive,-0.05593591921824411,0.0,0.0,0.0,0.9896949609756238,False,1,0,30
22,Eco,-276.52099480803906,102.45312714570284,7805.8558012255135,13.125162666932404,0.0,True,1,0,30
22,Commute,-489.69019086091726,125.14065265340679,7805.340457950948,16.032696245290833,0.0,True,1,0,30
22,Sport,-1337.8319978032598,266.13102218723236,7807.193528695404,34.087924323774686,0.0,True,1,0,30
22,RuleBased,-642.0271988157732,143.7855894020441,7806.728328084875,18.418162302993473,0.0,True,1,0,30
23,RL_Adaptive,-0.09140182173647499,0.0,0.0,0.0,0.9832161810938399,False,1,1,30
23,Eco,-241.22837737375977,61.58175004328696,2940.712207563853,20.941100555468008,0.0,True,1,1,30
23,Commute,-827.0284364344818,95.75330116006437,2941.715095976972,32.55016139768755,0.0,True,1,1,30
23,Sport,-924.2064775526242,140.95267511997113,2941.381611417929,47.92056718272036,0.0,True,1,1,30
23,RuleBased,-488.6462055709937,80.34803619284774,2940.4189303874177,27.325370328187017,0.0,True,1,1,30
24,RL_Adaptive,-27.53522053073304,1.6662950131418115,543.8441591489637,3.0639200313364006,0.33122962744467016,False,0,1,0
24,Eco,-481.16775262642176,66.03665327408451,4191.395466561655,15.755290523386627,0.0,True,0,1,0
24,Commute,-891.2375098795184,94.99325668756526,4193.913527952056,22.650265928098843,0.0,True,0,1,0
24,Sport,-1093.876886879524,130.92760702673175,4191.399414372926,31.237206021874627,0.0,True,0,1,0
24,RuleBased,-1003.8873231456319,103.22769905861323,4193.626083828716,24.615379863425478,0.0,True,0,1,0
25,RL_Adaptive,-0.03288303343129915,0.0,0.0,0.0,0.9939290524920832,False,1,1,30
25,Eco,-942.6769980251718,140.44895016472591,9211.235146439263,15.24756972673947,0.0,True,1,1,30
25,Commute,-1701.8022262881366,208.30039300708353,9210.468468180541,22.615613280334234,0.0,True,1,1,30
25,Sport,-1986.0757503194106,317.4029342559901,9210.07188165977,34.462590339608745,0.0,True,1,1,30
25,RuleBased,-2075.44120586764,241.22775568571763,9210.825782514026,26.189590529838064,0.0,True,1,1,30
26,RL_Adaptive,-59.59578125726723,7.013888888888903,610.8674109288179,11.48185148430877,0.2672022975332834,False,2,1,0
26,Eco,-1180.6147954853323,104.58891884260092,8697.21940435775,12.025558282477794,0.0,False,2,1,0
26,Commute,-2016.5717177395163,173.93466896996622,8726.7162017667,19.93128514191325,0.0,False,2,1,0
26,Sport,-2239.029385116787,299.9558637861582,9260.523830663426,32.3908095558207,0.0,True,2,1,0
26,RuleBased,-2203.265156183205,198.515296733999,8762.583134739865,22.654883118537434,0.0,False,2,1,0
27,RL_Adaptive,-0.011646777259678312,0.0,0.0,0.0,0.9973076177253896,False,1,3,30
27,Eco,-1748.9817590617458,-14.178762502970137,2080.8285396657675,-6.8139984783405545,0.0,True,1,3,30
27,Commute,-1553.5458368422019,12.263257562263403,2082.6851500143903,5.8881956123702475,0.0,True,1,3,30
27,Sport,-1237.507134659091,36.80206728009762,2082.8181331046944,17.669361858896266,0.0,True,1,3,30
27,RuleBased,-1701.701943647169,8.965133101448558,2080.8315860736516,4.308437627268521,0.0,True,1,3,30
28,RL_Adaptive,-0.10375401852058878,0.0,0.0,0.0,0.9729251244482594,False,2,3,60
28,Eco,-2718.9707830712687,39.04796020266284,3935.5998583367004,9.921730259225503,0.0,False,2,3,60
28,Commute,-2626.082638782646,82.36228004576593,5365.024331275965,15.35170671372849,0.0,False,2,3,60
28,Sport,-2505.2549707146154,198.0268934930332,7609.250800380328,26.02449290843921,0.0,False,2,3,60
28,RuleBased,-2408.1299880594784,80.3296245501775,4422.057659058936,18.16566647104112,0.0,False,2,3,60
29,RL_Adaptive,-0.16025406178859636,0.0,0.0,0.0,0.9635837736957643,False,1,3,30
29,Eco,-3011.922545072697,31.07813013952807,3988.2267158683057,7.792468270641386,0.0,False,1,3,30
29,Commute,-2696.675608908049,40.073111700771406,4725.308458855556,8.480528213067576,0.0,True,1,3,30
29,Sport,-1957.4044226539806,78.64075730507247,4727.692773271101,16.63406677982181,0.0,True,1,3,30
29,RuleBased,-3050.169009789186,60.35764612589949,4348.244368540485,13.88092319801219,0.0,False,1,3,30
30,RL_Adaptive,-0.07305659436207683,0.0,0.0,0.0,0.9865621066318467,False,1,2,30
30,Eco,-967.9693504212801,59.612466282232035,3625.565326182997,16.442254081515106,0.0,True,1,2,30
30,Commute,-1286.989075720438,104.3778399728427,3624.295968417643,28.799480197643394,0.0,True,1,2,30
30,Sport,-1440.7853468316039,153.58206941990662,3625.1919214423283,42.36522444825543,0.0,True,1,2,30
30,RuleBased,-1573.0070300917653,94.36894508906421,3625.0417434725346,26.032512662506726,0.0,True,1,2,30
31,RL_Adaptive,-0.06018368865626396,0.0,0.0,0.0,0.9889167493164293,False,0,2,0
31,Eco,-2910.4060347135946,73.2075281591494,5734.514489598104,12.766124890248566,0.0,False,0,2,0
31,Commute,-3513.7083865160785,140.00878596206098,6469.054776459182,21.642850586387272,0.0,False,0,2,0
31,Sport,-3626.66934700464,236.22477249778402,8314.055403341912,28.412701267642653,0.0,False,0,2,0
31,RuleBased,-2869.848751942741,109.8524807515009,5890.6633603386845,18.648575556214595,0.0,False,0,2,0
32,RL_Adaptive,-58.23461157008631,7.916666666666683,551.0064751819231,14.367647247798454,0.32704052060376354,False,1,0,30
32,Eco,-709.570626975826,51.37910091107651,4931.461957094662,10.418634749307925,0.0,True,1,0,30
32,Commute,-1218.9781468620947,102.6733963184345,4931.665170806884,20.81921476060708,0.0,True,1,0,30
32,Sport,-1282.114278970537,168.3628854642246,4929.929619908328,34.15117424482731,0.0,True,1,0,30
32,RuleBased,-1051.740748876825,117.51908973276431,4930.825734732051,23.833551631114474,0.0,True,1,0,30
33,RL_Adaptive,-0.012491269717186778,0.0,0.0,0.0,0.9971126787332486,False,2,1,60
33,Eco,-561.4262629366093,68.47579768042966,4099.256439291019,16.704443523975485,0.0,True,2,1,60
33,Commute,-929.6100817836217,107.58198279696362,4099.169389208019,26.24482488579205,0.0,True,2,1,60
33,Sport,-988.4948115685291,162.28550701010752,4099.493377605429,39.58672256836301,0.0,True,2,1,60
33,RuleBased,-1272.631750759269,139.75379900830245,4101.2724939306945,34.075716552635406,0.0,True,2,1,60
34,RL_Adaptive,-0.035166308559721395,0.0,0.0,0.0,0.9918926937178437,False,2,1,60
34,Eco,-704.6419389469246,111.77335145116999,6240.495339957991,17.910974267616776,0.0,True,2,1,60
34,Commute,-1205.8173286764036,185.90435078678829,6240.6980158107235,29.789031662131727,0.0,True,2,1,60
34,Sport,-1597.2380995861554,276.8216863172333,6240.976124816897,44.35551118621767,0.0,True,2,1,60
34,RuleBased,-1414.228523742938,215.6713700305732,6241.984550647952,34.55173082864893,0.0,True,2,1,60
35,RL_Adaptive,-31.967161878177667,-0.025097557128769928,505.5612657972442,-0.04964295887896469,0.24667659841686052,False,2,2,0
35,Eco,-550.1450237577108,28.430305589718262,2369.459920894595,11.998643800222768,0.0,True,2,2,0
35,Commute,-790.9492282644572,44.24958148146475,2369.433022866046,18.67517716451037,0.0,True,2,2,0
35,Sport,-806.8949938441536,53.84214544665602,2369.369174988743,22.724253364574064,0.0,True,2,2,0
35,RuleBased,-805.4810954776266,46.93141352813736,2369.11010161486,19.809722433814887,0.0,True,2,2,0
36,RL_Adaptive,-0.023200759569530164,0.0,0.0,0.0,0.9957127795238757,False,0,2,0
36,Eco,-3815.038622295681,46.67455247429349,4581.919976794453,10.186679974919025,0.0,False,0,2,0
36,Commute,-3565.235660201319,83.98265653834635,5731.676152720128,14.652372936054668,0.0,False,0,2,0
36,Sport,-3637.2214797779225,152.08159852263816,7765.391637942068,19.58453682871065,0.0,False,0,2,0
36,RuleBased,-3591.671649124764,78.73451106533855,4909.469583782044,16.03727443906168,0.0,False,0,2,0
37,RL_Adaptive,-0.09066807142418834,0.0,0.0,0.0,0.9833497892783466,False,1,0,30
37,Eco,-144.36882764825378,55.05020599013616,2445.3870851779634,22.511857662047753,0.0,True,1,0,30
37,Commute,-144.3433552029546,62.73242902663972,2448.5611537455547,25.620119363030064,0.0,True,1,0,30
37,Sport,-272.98624231485144,75.8308004671587,2445.849535038922,31.0038697723701,0.0,True,1,0,30
