soc,energy_wh,jerk,dist_m
1.0,0.0,0.0,2.9977078031392503
1.0,-0.11041557074896238,23.981663,5.310141478081871
1.0000324,-0.19559021110934893,-29.463856,6.9410829724953045
1.0000576,-0.25566322282024373,0.03025558,7.893325306482725
1.0000752,-0.18621877837579928,0.02234416,9.120378423818092
1.0000547,-0.11677433393135483,7.6280794,10.548454892535199
1.0000343,-0.16937515052910157,-0.5902994,11.298477163074462
1.0000498,-0.09993070608465712,-7.0326204,12.411749141045822
1.0000294,-0.030486261640212675,8.330431,13.752232335786612
1.000009,-0.07986072597983176,-1.088308,14.41491337250194
1.0000235,0.26041704020815404,-7.240107,17.32643701601173
0.9999234,0.1531759193388768,23.413158,19.5532158333293
0.99995494,0.07115623290101296,-23.4687,21.098906559647972
0.9999791,0.014223291148275238,0.029253881,21.966179581419485
0.9999958,0.08366773559271969,0.02136309,23.140430642422398
0.9999754,0.15311218003716415,7.8831663,24.527236887704845
0.99995494,0.10203148333592732,-0.75538284,25.236109672318406
0.99997,0.4423092495239131,-7.123909,28.0438708116832
0.9998699,0.33889004755730995,22.214575,30.167503900553704
0.99990034,0.26066956211724635,-22.26413,31.610515264245098
0.99992335,0.2075186435546133,0.028050601,32.37542786477633
0.99993896,0.2769630879990578,0.020183695,33.49549254160493
0.9999185,0.3464075324435022,8.266006,34.841058024734124
0.99989814,0.296845870481577,-1.0372101,35.508807161932886
0.9999127,0.6371236366695627,-7.2265377,38.40793352252555
0.9998126,0.5303391490543995,23.273548,40.62238992494063
0.999844,0.44877333823211085,-23.328379,42.155815114405655
0.99986804,0.3922921770868157,0.02910996,43.010861850952715
0.9998846,0.46173662153126016,0.021222081,44.178037471474866
0.9998642,0.5311810659757046,7.9240584,45.55939146159695
0.9998438,0.4803011940062077,-0.7836041,46.26282767706006
0.99985874,0.8205789601941935,-7.1367693,49.08177936099671
0.99975866,0.7167475731691934,22.347467,51.21653755326859
0.9997892,0.6381173130871792,-22.39767,52.67062478300722
0.9998123,0.584558433458473,0.028180234,53.446579900336786
0.9998281,0.6540028779029174,0.020310802,54.57188178908684
0.99980766,0.7234473223473619,8.219831,55.92137964968629
0.9997872,0.6737408178152822,-1.0012064,56.59305014974178
0.9998018,1.014018584003268,-7.2161865,59.482765060940984
0.99970174,0.9075807514407639,23.166973,61.687866637010124
0.9997331,0.8263595100555506,-23.221262,63.21197996956516
0.99975693,0.7702213356397736,0.029000733,64.05774443977135
0.99977344,0.839665780084218,0.02111505,65.21964716381459
0.99975306,0.9091102245286624,7.955897,66.59695057085136
0.9997326,0.8583795490361409,-0.8059006,67.29634781665631
0.9997475,1.1986573152241267,-7.146455,70.12378048572988
0.99964744,1.0945135452465835,22.447533,72.26696989380495
0.9996781,1.0155727353824848,-22.498228,73.72945085320416
0.9997013,0.9617046867112811,0.0282785,74.5137742569669
0.9997171,1.0311491311557255,0.020407144,75.64315340958325
0.99969673,1.10059357560017,8.185706,76.99572095701544
0.9996763,1.0507740042697509,-0.97493887,77.67045252335286
0.99969095,1.3910517704577368,-7.2081947,80.55292837407913
0.9995909,1.2848805766226523,23.084642,82.75083431748914
0.9996221,1.2039243743737171,-23.138514,84.26778494524443
0.9996459,1.1480500262513975,0.028916731,85.10640934915331
0.99966234,1.217494470695842,0.021032736,86.26431610238953
0.9996419,1.2869389151402864,7.980869,87.63855714611822
0.9996215,1.2363210366962798,-0.8235845,88.3349007860785
0.99963635,1.5765988028842655,-7.153854,91.16884172683287
0.9995363,1.4722153115664796,22.523958,93.31850111242613
0.999567,1.393036190863794,-22.575031,94.78742318288869
0.9995903,1.3389308946017566,0.02835392,95.57816807399168
0.9996062,1.408375339046201,0.020481087,96.7107372483123
0.99958575,1.4778197834906455,8.160011,98.06571148278867
0.99956536,1.4279115658540988,-0.95535374,98.7428429638128
0.99958,1.7681893320420845,-7.2019825,101.61970838618444
0.99947995,1.6622247889847293,23.020613,103.81203748380926
0.9995111,1.5814740005555485,-23.074162,105.32343671189486
0.99953485,1.525804128987729,0.028851643,106.1565271885769
0.99955124,1.5952485734321735,0.020968944,107.31137370600787
0.9995308,1.664693017876618,8.000518,108.68327380000103
0.9995104,1.6141613644145365,-0.83761966,109.3772831715113
0.99952525,1.9544391306025224,-7.1595545,112.2162559378873
0.9994252,1.8498703003743397,22.582834,114.37091748188257
0.9994559,1.770506933503847,-22.634197,115.84481933347352
0.99947923,1.7162182153035803,0.02841224,116.64052877501346
0.9994952,1.7856626597480247,0.02053826,117.77559977788347
0.9994748,1.8551071041924692,8.140431,119.13246453378774
0.9994544,1.8051292523499953,-0.94054246,119.81148120791617
0.9994691,2.145407018537981,-7.1971345,122.68397918248425
0.999369,2.03960334314139,22.970636,124.87196692942477
0.99940014,1.9590124611290811,-23.023932,126.37904457085503
0.9994238,1.9035017680030668,0.028800976,127.20782701827409
0.99944013,1.9729462124475112,0.020919291,128.36031395095512
0.99941975,2.0423906568919556,8.015997,129.73041163153465
0.9993993,1.9919253923239433,-0.8487499,130.42262372612305
